division,department,category,incident_id,incident_number,incident_type_id,request_type,request_status,request_priority,reported_date,sr_creation_channel,created_by_user,resolution_code,group_name,address1,city,state,parcel_id,sub_district,creation_date,last_update_date,last_updated_by,ce_category,full_address,location1,_100_block_coordinate,:@computed_region_me95_vbw4,:@computed_region_xf2b_u4zq,:@computed_region_gxae_hf64,:@computed_region_stch_rtry,:@computed_region_dgrd_cuuf,:@computed_region_fuzm_ngj2,:@computed_region_scpn_qt9a,:@computed_region_y9za_kydd,resolution_summary,close_date,postal_code,target_block,:@computed_region_m99d_em2n,followup_date,:@computed_region_nyzj_ikpv,district,map_page,area,zone,collection_day,:@computed_region_qnac_u4vd,resolution_code_meaning,incident_resolved_date,last_modified_date,next_open_task_date,owner_name,street_name,number_of_tasks,created_by,last_update_login,swm_code
Public Works,HEAVY EQUIPMENT SERVICES,Cleanup,7142847,7142847,10203,PW (HE)-Street Cleaning,Closed,Low,2024-07-24T12:51:00.000,WEB,Esri_Anonymous,,Memphis,2796 E HICKORY BLF,MEMPHIS,Tennessee,083021 C00005,,2024-07-24T12:53:30.000,2024-07-25T14:40:49.000,Esri_Anonymous,,2796 E HICKORY BLF,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.93811402, 35.201932981]}",3,8,6,1,2,7,1,6,street cleaned,2024-07-25T00:00:00.000,,,,,,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Solid Waste Management,Solid Waste Management,Cart Maintenance,7135013,7135013,10430,SWM-Cart Repair,Closed,Low,2024-07-05T11:00:00.000,WEB,Esri_Anonymous,SWMREP,Memphis,6734 ABERFOYLE CV,MEMPHIS,Tennessee,081054  00042,,2024-07-05T11:02:24.000,2024-07-17T13:19:42.000,Esri_Anonymous,,6734 ABERFOYLE CV,"{'type': 'Point', 'coordinates': [-89.8493311, 35.0825004]}","{'type': 'Point', 'coordinates': [-89.838619991, 35.078211019]}",18,4,2,2,,2,2,5,T167011,2024-07-17T00:00:00.000,38119,,,,,,146,E,E2,Wednesday,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,ENVIRONMENTAL MAINTENANCE,Others,7141379,7141379,10688,EMI-Sewer Backup,Closed,High,2024-07-22T08:33:00.000,WEB,Sa_GISIdentitystore,,Memphis,80 W BISCAYNE RD,MEMPHIS,Tennessee,075066  00029,,2024-07-22T09:44:46.000,2024-07-22T19:36:14.000,Esri_Anonymous,,80 W BISCAYNE RD,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.066617983, 35.062096014]}",3,8,6,1,2,7,1,6,FLUSHED 4&6 GREASE AND PAPER CLEARED 239-AS,2024-07-22T17:45:00.000,,,,,,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,HEAVY EQUIPMENT SERVICES,Cleanup,7142243,7142243,10203,PW (HE)-Street Cleaning,Closed,Low,2024-07-23T12:19:00.000,WEB,Esri_Anonymous,,Memphis,4268 ALICE DR,MEMPHIS,Tennessee,076050  00046,,2024-07-23T12:21:27.000,2024-07-24T14:26:15.000,Esri_Anonymous,,4268 ALICE DR,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.045427023, 35.032241016]}",3,8,6,1,2,7,1,6,STREET SWEPT,2024-07-24T00:00:00.000,,,,,,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,Code Enforcement,Miscellaneous,7081052,7081052,10396,CE-Code Miscellaneous,Closed,Low,2024-04-26T12:18:00.000,WEB,Sa_GISIdentitystore,CVOYC,Memphis,2115 OXFORD SQUARE CT,MEMPHIS,Tennessee,079021  00073,3-1,2024-04-26T12:27:57.000,2024-06-14T10:29:55.000,Esri_Anonymous,NOT-CATEGORIZED,2115 OXFORD SQUARE CT,"{'type': 'Point', 'coordinates': [-90.014934, 35.034303]}","{'type': 'Point', 'coordinates': [-89.993183962, 35.03323402]}",15,12,3,1,43,3,1,7,,,38116,185,21,,,,,,,,1,,,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7041793,7041793,10396,CE-Code Miscellaneous,Closed,Low,2024-01-10T18:46:00.000,WEB,,NJ,Memphis,1433 LEFLORE PL,MEMPHIS,Tennessee,025065  00021,6-6,2024-07-07T02:01:11.000,2024-09-12T08:11:53.000,,NOT-CATEGORIZED,1433 LEFLORE PL,"{'type': 'Point', 'coordinates': [-90.038906, 35.105499]}","{'type': 'Point', 'coordinates': [-90.040123961, 35.10788698]}",6,14,6,1,9,6,1,1,REOPENED BY SYSTEM,2024-09-12T14:11:49.000,38106,119,5,2024-05-22T23:00:00.000,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7132607,7132607,10396,CE-Code Miscellaneous,Closed,Low,2024-06-28T17:21:00.000,WEB,,CVOID,Memphis,2926 MIMOSA AVE,MEMPHIS,Tennessee,037032  00023,5-2,2024-06-28T22:14:06.000,2024-08-12T14:15:38.000,,NOT-CATEGORIZED,2926 MIMOSA AVE,"{'type': 'Point', 'coordinates': [-89.9734071, 35.1468552]}","{'type': 'Point', 'coordinates': [-89.963855012, 35.139560013]}",11,9,4,2,18,5,2,9,CVOID,2024-08-12T06:00:00.000,38112,54,7,,,,,,,,,,,,,,,,,,
Public Works,GROUNDS MAINTENANCE,Weeds,7133531,7133531,10205,CW-Weeds Vacant Lots,Closed,Low,2024-07-01T14:38:00.000,WEB,,WEEDSCUTOWN,Memphis,4915 HALEVILLE RD,MEMPHIS,Tennessee,079061  00099,,2024-07-04T19:42:00.000,2024-09-27T10:24:45.000,,,4915 HALEVILLE RD,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.011780974, 35.014426999]}",3,8,6,1,2,7,1,6,,2024-09-27T00:00:00.000,,179,,2024-07-31T10:28:06.000,,,,,,,,,2024-09-22T08:47:42.000,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7095183,7095183,10396,CE-Code Miscellaneous,Closed,Low,2024-05-23T10:55:00.000,WEB,Sa_GISIdentitystore,NJ,CITIZEN,"1319-1347 E Raines Rd, Memphis, TN, 38116, USA",MEMPHIS,Tennessee,079004  00001C,,2024-05-23T11:10:54.000,2024-05-28T12:34:41.000,Esri_Anonymous,NOT-CATEGORIZED,"1319-1347 E Raines Rd, Memphis, TN, 38116, USA","{'type': 'Point', 'coordinates': [-90.014934, 35.034303]}","{'type': 'Point', 'coordinates': [-90.019214968, 35.035244001]}",15,12,3,1,43,3,1,7,,,38116,180,21,,,,,,,,1,,,,,,,,,,
Solid Waste Management,Solid Waste Management,Cart Maintenance,7138653,7138653,10430,SWM-Cart Repair,Closed,Low,2024-07-15T11:03:00.000,WEB,Esri_Anonymous,,Memphis,4889 ROANE RD,MEMPHIS,Tennessee,056014  00008,,2024-07-15T11:07:00.000,2024-07-18T08:07:18.000,Esri_Anonymous,,4889 ROANE RD,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.898976986, 35.123612017]}",3,8,6,1,2,7,1,6,,,,,,,,,039,B,B3,Monday,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Solid Waste Management,Solid Waste Management,Garbage,7138621,7138621,10431,SWM-Missed Bulk Trash,Closed,Low,2024-07-15T10:43:00.000,WEB,Esri_Anonymous,SWM100,Memphis,885 N BINGHAM ST,MEMPHIS,Tennessee,052056  00017,,2024-07-15T10:46:48.000,2024-07-16T18:04:52.000,Esri_Anonymous,,885 N BINGHAM ST,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.971806002, 35.159347004]}",3,8,6,1,2,7,1,6,p/u,,,,,,,,030,A,A2,Wednesday,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,Code Enforcement,Miscellaneous,7078856,7078856,10396,CE-Code Miscellaneous,Closed,Low,2024-04-19T16:19:00.000,WEB,Sa_GISIdentitystore,CVOID,Memphis,4787 TULANE RD,MEMPHIS,Tennessee,076114  00005,,2024-04-19T16:24:15.000,2024-05-08T11:21:15.000,Esri_Anonymous,NOT-CATEGORIZED,4787 TULANE RD,"{'type': 'Point', 'coordinates': [-90.076108, 35.0396786]}","{'type': 'Point', 'coordinates': [-90.043399022, 35.017652984]}",9,13,6,1,,6,1,7,,2024-05-08T11:21:13.000,38109,176,,,,,,,,,,,,,,,,,,,
Solid Waste Management,Solid Waste Management,Cart Maintenance,7138864,7138864,10441,SWM-Missing Cart,Closed,Low,2024-07-15T14:46:00.000,WEB,Esri_Anonymous,SWMDEV,Memphis,3408 PARKER AVE,MEMPHIS,Tennessee,058016  00010,,2024-07-15T14:48:33.000,2024-07-16T12:54:24.000,Esri_Anonymous,,3408 PARKER AVE,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.949217024, 35.087637014]}",3,8,6,1,2,7,1,6,Delivered T170491,2024-07-16T12:53:58.000,,,,,,,055,C,C3,Tuesday,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,HEAVY EQUIPMENT SERVICES,Cleanup,7143180,7143180,10203,PW (HE)-Street Cleaning,Closed,Low,2024-07-25T08:39:00.000,WEB,Esri_Anonymous,OTHER,Memphis,1337 MERIMAC CV,MEMPHIS,Tennessee,089017  00023,,2024-07-25T08:43:32.000,2024-07-26T15:07:04.000,Esri_Anonymous,,1337 MERIMAC CV,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.852753975, 35.161718999]}",3,8,6,1,2,7,1,6,sweeping completed,2024-07-26T00:00:00.000,,,,,,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,HEAVY EQUIPMENT SERVICES,Cleanup,7139992,7139992,10203,PW (HE)-Street Cleaning,Closed,Low,2024-07-17T11:48:00.000,WEB,Esri_Anonymous,OTHER,Memphis,6712 STOUT RD,MEMPHIS,Tennessee,081054  00021,,2024-07-17T11:49:58.000,2024-07-23T07:48:53.000,Esri_Anonymous,,6712 STOUT RD,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.839394982, 35.077087006]}",3,8,6,1,2,7,1,6,Sweeper completed,2024-07-23T00:00:00.000,,,,,,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Solid Waste Management,Solid Waste Management,Cart Maintenance,7138865,7138865,10430,SWM-Cart Repair,Closed,Low,2024-07-15T14:46:00.000,WEB,Esri_Anonymous,SWMREP,Memphis,4604 BLANDFORD DR,MEMPHIS,Tennessee,093723 D00018,,2024-07-15T14:50:34.000,2024-07-17T13:31:33.000,Esri_Anonymous,,4604 BLANDFORD DR,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.838568023, 35.022731998]}",3,8,6,1,2,7,1,6,R05624,2024-07-17T00:00:00.000,,,,,,,152,E,E1,Tuesday,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
